Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
01-Jan-2019,181.8,182.6,185.9,181,184.4,184.25,184.04,24160878,4446548544.4,128819,4380315,18.13
02-Jan-2019,184.25,183.45,187,182.5,184.6,184.65,185.2,32583205,6034297945.05,158991,5290399,16.24
03-Jan-2019,184.65,185.25,186,183.5,184.3,184.1,184.53,20239949,3734965517.05,102751,4112556,20.32
04-Jan-2019,184.1,184.85,190.3,181.55,190,189.65,186.71,45914917,8572595367.9,224066,9056039,19.72
07-Jan-2019,189.65,193.9,194.4,185.8,186.55,187.15,190.49,40515242,7717769611.75,215186,11491836,28.36
08-Jan-2019,187.15,188,193.2,185,191.8,192.35,190.14,40559174,7711815846.35,233064,6089483,15.01
09-Jan-2019,192.35,193.95,193.95,181.5,186.55,186.45,188.64,63673200,12011060866.75,352457,11568064,18.17
10-Jan-2019,186.45,188,188.9,184.2,187.9,186.9,186.41,36296992,6766271330.1,204708,8054505,22.19
11-Jan-2019,186.9,188.7,189.9,182.75,183.4,184.25,185.63,33594786,6236324874.2,164656,7673220,22.84
14-Jan-2019,184.25,185,198,182.3,195,195.35,192.96,98089778,18927093181.2,489797,19400487,19.78
15-Jan-2019,195.35,196.6,205,196.1,203.3,203,202.35,82308056,16654713564.45,419455,14755006,17.93
16-Jan-2019,203,204.8,209.15,203.5,207.8,208.35,206.07,58015710,11955441178.9,266651,10342408,17.83
17-Jan-2019,208.35,209.25,209.55,200.25,200.65,201.5,203.8,60534702,12337127690.7,293680,13636139,22.53
18-Jan-2019,201.5,202,203.05,196.2,198.95,198.6,199.21,41858021,8338654433.6,235546,5482465,13.1
21-Jan-2019,198.6,199.3,200.5,190.7,191.2,191.95,195.77,37304992,7303212661.8,206900,7573007,20.3
22-Jan-2019,191.95,191.5,193.8,187.4,193.55,192.2,191.09,38382360,7334418921.7,235809,7094311,18.48
23-Jan-2019,192.2,194.5,199.5,193.65,197.25,197.25,196.73,46394304,9126954064.9,243281,8033285,17.32
24-Jan-2019,197.25,199,235,189,225.5,215.4,210.47,127603904,26856567120,604076,28175530,22.08
25-Jan-2019,215.4,225,245,218,219.95,219.6,227.75,183425643,41774766072.75,955891,36712058,20.01
28-Jan-2019,219.6,222.45,223,206.1,208,207.5,211.86,58015753,12291018719.45,331260,9240415,15.93
29-Jan-2019,207.5,207,209.45,195.7,205.5,202.9,202.44,76651017,15517133462.5,396905,10859017,14.17
30-Jan-2019,202.9,211,212,198.3,199.35,199.5,203.09,65312137,13264028321.45,381216,11135037,17.05
31-Jan-2019,199.5,202,202.45,190.15,194,194.1,195.15,67794993,13230334262.45,371602,13785148,20.33
01-Feb-2019,194.1,195.9,197.2,181.25,185.3,185.6,190,66597684,12653480304.6,411460,17458912,26.22
04-Feb-2019,185.6,184.25,184.7,175.6,179.4,179.8,180.41,60771732,10963806269.1,365522,13350973,21.97
05-Feb-2019,179.8,179.8,183.5,175,175.85,176.1,179.63,44477885,7989423837.75,291755,9084094,20.42
06-Feb-2019,176.1,178.9,178.95,173,177.1,176.45,175.86,45391450,7982416064.1,273502,8729205,19.23
07-Feb-2019,176.45,177.1,181.8,175.25,177.05,176.95,178.98,44494971,7963525933.4,241749,8443866,18.98
